Name,ProductKey,Description,Picture,Product sections,Type,vyzn.catalogue.Density,vyzn.catalogue.ch.KBOB2022.UBPTotal,vyzn.catalogue.ch.KBOB2022.UBPProduction,vyzn.catalogue.ch.KBOB2022.UBPDisposal,vyzn.catalogue.ch.KBOB2022.RenewableEnergyTotal,vyzn.catalogue.ch.KBOB2022.RenewableEnergyProduction,vyzn.catalogue.ch.KBOB2022.RenewableEnergyDisposal,vyzn.catalogue.ch.KBOB2022.GreyEnergyTotal,vyzn.catalogue.ch.KBOB2022.GreyEnergyProduction,vyzn.catalogue.ch.KBOB2022.GreyEnergyDisposal,vyzn.catalogue.ch.KBOB2022.GHGEmissionsTotal,vyzn.catalogue.ch.KBOB2022.GHGEmissionsProduction,vyzn.catalogue.ch.KBOB2022.GHGEmissionsDisposal,vyzn.catalogue.ch.KBOB2022.LCARefUnit,vyzn.catalogue.ch.KBOB2022.BiogenicCarbon,KBOB REF,vyzn.catalogue.SourceENV
Windkraft (KBOB45.015 ),KBOB2022-45.015-M,,,,MATERIAL,,110.000,,,1.20,,,0.09,,,0.03,,,,,223F00DA-C2D9-4971-879F-F391648A0155,KBOB 2022 V4
Wasserkraft (KBOB45.016 ),KBOB2022-45.016-M,,,,MATERIAL,,76.800,,,1.17,,,0.02,,,0.01,,,,,382D5231-E4CF-42D6-B935-D41BA653E3EE,KBOB 2022 V4
Pumpspeicherung (KBOB45.017 ),KBOB2022-45.017-M,,,,MATERIAL,,665.000,,,0.72,,,2.71,,,0.17,,,,,297C8AF9-6B6F-47A2-9F51-A0D37EFCB892,KBOB 2022 V4
Heizkraftwerk Geothermie (KBOB45.018 ),KBOB2022-45.018-M,,,,MATERIAL,,143.000,,,3.17,,,0.19,,,0.03,,,,,5905B6AD-722F-40CB-9877-57D366B4ABF4,KBOB 2022 V4
CH-Verbrauchermix (KBOB45.020 ),KBOB2022-45.020-M,,,,MATERIAL,,513.000,,,0.56,,,2.08,,,0.13,,,,,d3cdab2e-988a-4dcf-a9a9-00bda1cfe0ee,KBOB 2022 V4
CH-Produktionsmix (KBOB45.019 ),KBOB2022-45.019-M,,,,MATERIAL,,329.000,,,0.68,,,1.68,,,0.03,,,,,33d095f4-9d1b-4bbb-bd49-2bc99388facd,KBOB 2022 V4
Mix Stromprodukte aus erneuerbaren Energien (KBOB45.022 ),KBOB2022-45.022-M,,,,MATERIAL,,81.600,,,1.16,,,0.03,,,0.02,,,,,e87386b1-baac-4021-8cdb-e9588c9cfeaa,KBOB 2022 V4
CH-Lieferantenmix HKN (KBOB45.025 ),KBOB2022-45.025-M,,,,MATERIAL,,265.000,,,0.90,,,1.07,,,0.05,,,,,4722E1EF-E1A5-470C-8310-F4DC0300F7F3,KBOB 2022 V4
ENTSO-E-Mix (ehemals UCTE-Mix) (KBOB45.021 ),KBOB2022-45.021-M,,,,MATERIAL,,934.000,,,0.28,,,2.87,,,0.52,,,,,D4B0ECEB-1E00-4A60-A09E-D631A07E2EE3,KBOB 2022 V4
Photovoltaik (KBOB46.001 ),KBOB2022-46.001-M,,,,MATERIAL,,86.500,,,1.09,,,0.13,,,0.04,,,,,4BA8E23B-3562-494B-87B2-9D891B313B9B,KBOB 2022 V4
Photovoltaik Schrägdach (KBOB46.002 ),KBOB2022-46.002-M,,,,MATERIAL,,81.200,,,1.09,,,0.12,,,0.03,,,,,9F6858EE-648D-43AA-A72E-46D8A0B25E11,KBOB 2022 V4
